,Name,Artist,Duration(s),Popularity,Danceability,Energy,Loudness,Speechiness,Tempo,Valence
0,Slippery (feat. Gucci Mane),Migos,304,72,0.92,0.674,-5.662,0.264,141.967,0.741
1,All The Way Up (Remix),Fat Joe,285,65,0.564,0.717,-6.403,0.397,117.489,0.423
2,Can't Be Touched (feat. Mr. Magic & Trouble),Various Artists,214,72,0.642,0.777,-4.809,0.094,96.986,0.413
3,New Level (feat. Future),A$AP Ferg,265,57,0.738,0.704,-1.69,0.131,121.059,0.152
4,Trap Trap Trap (feat. Young Thug & Wale),Rick Ross,276,47,0.729,0.838,-4.476,0.313,136.869,0.349
5,Dat $tick,Rich Brian,127,66,0.923,0.508,-8.668,0.0468,108.039,0.168
6,Guest List - Original Mix,Alvaro,273,0,0.72,0.976,-2.135,0.0772,128.004,0.335
7,2 Phones,Kevin Gates,240,68,0.895,0.681,-5.267,0.358,121.918,0.554
8,Guala,G-Eazy,314,0,0.837,0.538,-8.921,0.288,109.943,0.318
9,100's,Tyga,235,0,0.857,0.46,-9.668,0.352,106.974,0.477
10,"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)",Rob $tone,243,58,0.828,0.49,-9.278,0.0593,107.968,0.279
11,T-Shirt,Migos,242,68,0.865,0.687,-3.744,0.217,139.023,0.486
12,Me You,Russ,164,63,0.702,0.762,-2.733,0.0328,95.019,0.233
13,One Time Comin',YG,171,0,0.821,0.597,-7.32,0.0386,108.054,0.354
14,Speakerbox (feat. Ohana Bam & Lafa Taylor) - F8 Remix,Various Artists,189,51,0.576,0.88,-2.01,0.126,87.969,0.514
15,You Can't Stop Me,Andy Mineo,240,0,0.781,0.8,-5.185,0.173,146.007,0.47
16,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",Keith Ape,300,52,0.787,0.743,-4.206,0.0642,102.076,0.454
17,Lte,$uicideBoy$,134,0,0.783,0.497,-7.652,0.0508,106.013,0.0381
18,Why You Always Hatin?,YG,197,0,0.927,0.362,-9.329,0.591,93.008,0.389
19,Walk Away,Tony Junior,172,0,0.66,0.853,-3.456,0.12,128.007,0.507
20,Mind Right,Kaan,196,31,0.735,0.727,-8.904,0.239,148.085,0.644
21,Maneuver,Dave East,210,0,0.438,0.729,-5.407,0.322,158.706,0.335
22,One Night Savage (feat. MadeinTYO),A$AP Ferg,153,42,0.71,0.837,-5.436,0.214,81.099,0.659
23,Ima Boss (feat. Rick Ross),Various Artists,250,64,0.37,0.87,-2.09,0.271,79.092,0.331
24,New Freezer (feat. Kendrick Lamar),Rich The Kid,194,0,0.894,0.635,-10.58,0.352,140.031,0.532
25,Get Racks (feat. T.I.),O.T. Genasis,212,27,0.855,0.808,-3.382,0.153,136.005,0.371
26,Bank Account,21 Savage,220,78,0.884,0.346,-8.228,0.351,75.016,0.376
27,Shooter2x,Lil Durk,200,36,0.759,0.511,-9.672,0.293,144.063,0.306
28,OG Kush Diet,2 Chainz,251,0,0.912,0.625,-5.119,0.359,139.925,0.366
29,Fight Night,Migos,216,67,0.874,0.706,-5.132,0.207,89.968,0.895
30,Magnolia,Playboi Carti,182,0,0.795,0.584,-7.322,0.29,163.005,0.452
31,Fuckin Right,Kevin Gates,198,48,0.739,0.57,-7.322,0.0741,108.899,0.802
32,Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph),Gucci Mane,316,54,0.86,0.71,-5.705,0.285,122.993,0.764
33,Money Mitch,Lil Uzi Vert,247,52,0.842,0.333,-13.886,0.384,141.001,0.143
34,I Don't Fuck With You,Big Sean,284,75,0.824,0.733,-5.474,0.0613,97.972,0.395
35,Understand Me,It's Different,199,16,0.731,0.899,-2.274,0.0489,139.952,0.424
36,Dab (feat. Ceej),Danon,176,31,0.571,0.382,-9.704,0.39,103.28,0.114
37,Geceler,Ezhel,223,0,0.788,0.497,-10.964,0.151,130.02,0.339
38,Now It's Personal,Kid Ink,183,34,0.855,0.671,-5.662,0.135,128.012,0.397
39,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)",A$AP Ferg,336,56,0.678,0.871,-2.461,0.268,134.37,0.329
40,MATAFAKA,Unknown Brain,197,62,0.659,0.89,-6.026,0.0581,95.032,0.37
41,Gook,Denzel Curry,167,0,0.594,0.795,-5.033,0.205,149.956,0.29
42,Bossed Up,Juicy J,281,46,0.825,0.789,-5.181,0.232,156.046,0.532
43,Stormin tha Gatez,Terror Reid,138,43,0.727,0.756,-3.994,0.182,92.008,0.477
44,If Only I Could,Brooks,305,0,0.665,0.917,-3.06,0.0471,128.011,0.288
45,2nd Hand,$uicideBoy$,123,0,0.934,0.414,-6.667,0.128,139.994,0.0875
46,Gospel,Rich Brian,173,0,0.681,0.659,-6.405,0.268,156.004,0.225
47,Medication,Juicy J,246,42,0.92,0.771,-4.954,0.282,140.051,0.635
48,Junkie Jumping,No.1,285,0,0.78,0.77,-6.426,0.15,123.996,0.437
49,Şah Mat,MRF,131,46,0.783,0.774,-8.289,0.0502,150.022,0.314
50,Ver Sona Sesi,MRF,210,33,0.771,0.749,-10.505,0.155,94.978,0.52
51,Uçan Para,MRF,220,17,0.77,0.406,-12.464,0.0655,140.038,0.191
52,Derindeyim,MRF,217,41,0.7,0.331,-11.004,0.0478,137.981,0.202
53,Still Cold / Pathway Private,Night Lovell,271,68,0.762,0.41,-11.979,0.0551,100.047,0.0813
54,Dark Light,Night Lovell,206,71,0.625,0.45,-9.985,0.0311,92.974,0.0362
55,Contraband,Night Lovell,227,58,0.801,0.679,-8.747,0.0527,130.015,0.483
56,The Joker,Damien,194,0,0.385,0.77,-7.647,0.0824,129.619,0.148
57,TaleOfAGhost (Prod. The Virus and Antidote),Kamiyada+,126,0,0.401,0.736,-4.99,0.311,100.036,0.301
58,Hop Out Da Phantom (feat. Jahlil Beats),Bok Nero,195,0,0.67,0.787,-4.654,0.202,145.947,0.291
59,Cryin' Like A Bitch!!,Godsmack,202,0,0.543,0.808,-5.484,0.0407,95.19,0.472
60,Voodoo,Godsmack,283,0,0.778,0.613,-9.897,0.0488,120.005,0.853
61,Awake,Godsmack,304,0,0.406,0.755,-4.107,0.0549,111.813,0.492
62,Love-Hate-Sex-Pain,Godsmack,315,0,0.215,0.911,-4.715,0.0394,183.535,0.47
63,I Stand Alone,Godsmack,246,0,0.221,0.898,-4.456,0.0693,169.11,0.366
64,Grindin',NF,277,64,0.677,0.732,-6.86,0.171,110.085,0.32
65,VENI VIDI VICI,Thuna,270,34,0.765,0.423,-11.97,0.0499,110.0,0.221
66,I'm a Real 1,YG,168,54,0.813,0.486,-10.617,0.161,97.014,0.53
67,Don't Shoot,Chamillionaire,292,41,0.724,0.836,-4.419,0.25,139.964,0.522
68,Photo,YONAS,196,2,0.727,0.734,-6.903,0.173,149.95,0.684
69,21 Pounds,King Z3us,238,41,0.583,0.339,-16.674,0.0417,100.048,0.114
70,Don't Play,Jaeger,196,47,0.441,0.679,-6.765,0.0502,160.084,0.0721
71,Till I Die,Machine Gun Kelly,212,0,0.865,0.621,-7.027,0.109,110.044,0.344
72,Gözü Doysun,Kezzo,210,2,0.778,0.718,-8.228,0.337,90.015,0.612
73,Switch Lanes,Tyga,221,63,0.761,0.851,-4.371,0.234,92.486,0.463
74,Tiimmy Turner,Desiigner,240,0,0.602,0.723,-3.021,0.0405,122.812,0.293
75,Stereotype,Allame,489,0,0.77,0.611,-7.793,0.273,129.893,0.301
76,52 Ess,Dilly D,225,15,0.687,0.595,-7.312,0.307,109.93,0.225
77,Babylon (feat. Denzel Curry),Ekali,210,46,0.736,0.891,-4.342,0.0586,130.055,0.0726
78,Fenomen (feat. Ceza),Ayben,234,50,0.865,0.688,-6.756,0.188,110.025,0.411
79,Baba O'Riley,The Who,300,0,0.489,0.724,-8.367,0.0352,117.292,0.15
80,Beyin Lazim,Velet,137,0,0.595,0.473,-10.392,0.165,84.098,0.826
81,S&M,Rihanna,244,60,0.766,0.682,-5.02,0.0419,127.966,0.833
82,One More Time,Mert Hakan,211,17,0.874,0.691,-7.267,0.0787,99.999,0.913
83,Istakoz,Sagopa Kajmer,281,51,0.602,0.576,-9.22,0.152,179.941,0.421
84,Donar,Yener Çevik,203,0,0.789,0.51,-6.735,0.15,124.993,0.454
85,Hep Aynı Sonlar,Kezzo,227,41,0.806,0.658,-6.98,0.138,134.012,0.26
86,Kaybım Çok,Kezzo,208,2,0.796,0.67,-7.555,0.298,85.017,0.852
87,Güne Doğma Diyor,Kezzo,242,15,0.699,0.506,-12.292,0.0581,84.021,0.427
88,Start That Fire,ÉWN,186,48,0.66,0.794,-5.307,0.0392,97.992,0.422
89,Gangsta Gangsta (feat. Baby Eazy-E),Various Artists,202,61,0.824,0.907,-1.12,0.138,104.917,0.417
90,Le Song,Radkey,131,26,0.438,0.964,-2.402,0.0513,105.221,0.732
91,Let You Down,NF,212,49,0.658,0.715,-5.688,0.122,147.993,0.473
92,PICK IT UP (feat. A$AP Rocky),Famous Dex,191,69,0.921,0.467,-8.443,0.119,135.995,0.287
93,Saint,Huncho Jack,141,65,0.866,0.648,-3.675,0.0543,150.058,0.0798
94,Man's Not Hot,Big Shaq,186,66,0.905,0.884,-4.076,0.236,135.048,0.588
95,New Freezer (feat. Kendrick Lamar),Rich The Kid,193,0,0.888,0.664,-10.13,0.341,140.012,0.53
96,I Get The Bag (feat. Migos),Gucci Mane,233,0,0.89,0.633,-5.475,0.168,139.948,0.425
97,Codeine Dreaming (feat. Lil Wayne),Kodak Black,265,67,0.736,0.604,-7.357,0.222,155.007,0.574
98,Roll In Peace (feat. XXXTENTACION),Kodak Black,213,76,0.747,0.524,-6.807,0.245,140.053,0.363
99,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,209,75,0.839,0.81,-5.274,0.0568,129.014,0.814
