,Name,Artist,Duration(s),Popularity,Danceability,Energy,Loudness,Speechiness,Tempo,Valence
0,İstilamız Başlar,MRF,207,0,0.813,0.635,-9.357,0.12,130.087,0.307
1,Diva (feat. Don Toliver) - Remix,Kevin Gates,181,48,0.795,0.624,-5.997,0.207,153.852,0.908
2,Put in Work,G-Tops,195,0,0.843,0.598,-7.017,0.0492,96.023,0.457
3,"Is You Ready - From ""Mile 22""",Migos,184,50,0.743,0.731,-3.417,0.379,177.924,0.243
4,Dat $tick,Rich Brian,127,66,0.923,0.508,-8.668,0.0468,108.039,0.168
5,2 Phones,Kevin Gates,240,68,0.895,0.681,-5.267,0.358,121.918,0.554
6,Lte,$uicideBoy$,134,0,0.783,0.497,-7.652,0.0508,106.013,0.0381
7,New Freezer (feat. Kendrick Lamar),Rich The Kid,194,0,0.894,0.635,-10.58,0.352,140.031,0.532
8,Bank Account,21 Savage,220,78,0.884,0.346,-8.228,0.351,75.016,0.376
9,Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph),Gucci Mane,316,54,0.86,0.71,-5.705,0.285,122.993,0.764
10,2nd Hand,$uicideBoy$,123,0,0.934,0.414,-6.667,0.128,139.994,0.0875
11,Voodoo,Godsmack,283,0,0.778,0.613,-9.897,0.0488,120.005,0.853
12,Stereotype,Allame,489,0,0.77,0.611,-7.793,0.273,129.893,0.301
13,Istakoz,Sagopa Kajmer,281,51,0.602,0.576,-9.22,0.152,179.941,0.421
14,Look At Me!,XXXTENTACION,126,82,0.763,0.726,-6.405,0.282,139.059,0.349
15,You don't know me,Aso Khaki,188,1,0.857,0.64,-8.267,0.0856,99.002,0.298
16,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,314,61,0.716,0.485,-7.745,0.404,74.132,0.26
17,Mantra,Ethnique Punch,209,37,0.647,0.604,-5.704,0.196,85.011,0.33
18,Notice Me,Migos,234,68,0.793,0.344,-9.757,0.357,166.105,0.45
19,Look at Me Now,Brennan Savage,150,71,0.649,0.538,-9.793,0.0918,160.075,0.355
20,Call Out My Name,The Weeknd,228,3,0.489,0.598,-4.929,0.036,134.045,0.172
21,God's Plan,Drake,199,4,0.755,0.448,-9.587,0.107,77.179,0.318
22,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull,195,64,0.694,0.957,-3.115,0.171,106.002,0.505
23,Nonstop,Drake,239,1,0.909,0.405,-8.133,0.14,154.984,0.455
24,Katliam 2,Massaka,294,3,0.768,0.657,-7.11,0.265,132.975,0.696
25,Mary Jane (Radio Edit),Burry Soprano,181,1,0.871,0.561,-7.155,0.0525,122.041,0.0951
26,Catla,Velet,136,55,0.863,0.574,-8.45,0.197,101.991,0.395
27,Bak,Sansar Salvo,183,0,0.761,0.65,-8.244,0.153,75.97,0.764
28,WIN,Jay Rock,215,0,0.879,0.595,-2.936,0.0889,125.994,0.355
29,Tap Out (feat. Jeremih),Jay Rock,200,0,0.676,0.62,-6.343,0.0562,100.06,0.607
30,DEVASTATED,Joey Bada$$,207,10,0.812,0.628,-6.164,0.0682,123.004,0.485
31,Lucky You (feat. Joyner Lucas),Eminem,245,76,0.876,0.786,-4.884,0.306,153.068,0.575
32,Danger (with Migos & Marshmello),Migos,215,70,0.814,0.743,-2.968,0.159,107.996,0.367
33,Zehir,Hidra,248,0,0.855,0.791,-8.757,0.0856,110.008,0.728
34,KAFA10,Anıl Piyancı,254,60,0.777,0.668,-6.088,0.174,149.956,0.544
35,Beladayım,Velet,244,43,0.714,0.67,-10.117,0.189,129.972,0.187
36,SICKO MODE,Travis Scott,313,87,0.834,0.73,-3.714,0.222,155.008,0.446
37,Yarabandı,Velet,176,47,0.476,0.745,-5.256,0.0669,90.675,0.374
38,K.E.F.Y.,Contra,219,0,0.842,0.568,-7.932,0.169,118.042,0.46
39,Para Vermem,Metth,205,0,0.766,0.58,-6.943,0.328,129.73,0.506
40,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,195,70,0.753,0.686,-5.415,0.284,132.055,0.886
41,Mo Bamba,Sheck Wes,181,2,0.738,0.629,-4.882,0.0495,146.067,0.319
42,Drop That Shit,Brayke,154,0,0.787,0.524,-8.133,0.203,149.972,0.43
43,Day 'N' Nite (nightmare),Kid Cudi,221,72,0.871,0.44,-6.25,0.0761,137.996,0.799
44,151 Rum,JID,157,0,0.757,0.868,-3.627,0.157,129.978,0.665
45,Vay Yinemi Keder,Nahide Babashlı,124,0,0.627,0.135,-10.977,0.0525,45.188,0.508
46,Major (feat. Key Glock),Young Dolph,196,49,0.907,0.65,-5.661,0.312,147.026,0.626
47,İlginç,Kezzo,213,32,0.741,0.605,-8.935,0.107,138.056,0.567
48,Prestij,Ceg,334,52,0.697,0.685,-6.628,0.176,99.961,0.322
49,Islah,Muşta,232,50,0.807,0.67,-6.255,0.0871,109.95,0.243
50,Unuturum Elbet,Rafet El Roman,215,49,0.728,0.494,-6.983,0.0371,75.01,0.508
51,Whoa,Ron Grams,154,30,0.844,0.637,-5.731,0.316,74.999,0.446
52,Shoot,Desiigner,197,40,0.789,0.372,-12.991,0.401,127.087,0.238
53,Stranger Things,Joyner Lucas,220,67,0.867,0.663,-5.838,0.178,121.978,0.481
54,I Don't Die,Joyner Lucas,225,63,0.743,0.876,-4.326,0.301,149.041,0.574
55,I'm Not Racist,Joyner Lucas,408,59,0.605,0.613,-10.479,0.869,63.764,0.336
56,Winter Blues,Joyner Lucas,275,58,0.643,0.766,-6.141,0.425,131.001,0.54
57,Lovely,Joyner Lucas,379,43,0.515,0.79,-6.112,0.467,129.19,0.315
58,FYM (feat. Mystikal),Joyner Lucas,289,47,0.729,0.795,-6.422,0.522,92.83,0.369
59,Boş Gemiler,Yüzyüzeyken Konuşuruz,230,61,0.484,0.689,-9.174,0.0568,81.891,0.516
60,SystemPreferences,BONES,163,0,0.686,0.61,-9.129,0.053,161.991,0.238
61,Reach,VTB,204,0,0.461,0.591,-6.552,0.416,74.15,0.171
62,STOOPID,6ix9ine,152,0,0.733,0.63,-4.296,0.395,149.989,0.832
63,Mor Yazma,Umut Kaya,199,56,0.637,0.73,-5.543,0.0397,140.969,0.814
64,Yağmur (Denizhan'la Düet),Cem Adrian,321,39,0.225,0.317,-7.425,0.0381,172.261,0.285
65,Çok Yorgunum,Cem Karaca,224,54,0.28,0.295,-10.871,0.0303,97.299,0.0683
